subset,product,year,count,min,max,mean,stdev,median,sum,q02.5,q10,q25,q75,q90,q97.5
pima,agb_chopping,2021,380685.3125,0,195,1.3122096061706543,8.566298484802246,0.5288667076467951,499538.9375,0.02644333538233976,0.10577334152935904,0.26443335382339755,0.7933000614701926,0.9519600737642313,14.945067599366368
pima,agb_esa,2010,2877426.25,0,127,0.9320579171180725,5.320676326751709,0.5456535568787427,2681928,0.027282677843937134,0.10913071137574853,0.27282677843937136,0.8184803353181139,0.9821764023817369,11.82796069037744
pima,agb_esa,2017,2877426.25,0,126,0.6686426997184753,4.059462070465088,0.5447534515332292,1923970.125,0.027237672576661463,0.10895069030664585,0.2723767257666146,0.8171301772998438,0.9805562127598126,7.805272033388836
pima,agb_esa,2018,2877426.25,0,127,0.8820050358772278,5.276057720184326,0.5419954094907671,2537904.5,0.027099770474538355,0.10839908189815342,0.27099770474538354,0.8129931142361507,0.9755917370833809,10.627900209583675
pima,agb_esa,2019,2877426.25,0,128,0.9824303984642029,5.791626453399658,0.5419391885919665,2826871,0.027096959429598326,0.1083878377183933,0.2709695942959833,0.8129087828879499,0.9754905394655399,11.944445558179133
pima,agb_esa,2020,2877426.25,0,129,1.401111125946045,7.338698387145996,0.5529062740197198,4031594,0.02764531370098599,0.11058125480394396,0.2764531370098599,0.8293594110295797,0.9952312932354956,17.809170935697235
pima,agb_liu,1993,36.376365661621094,8.347098350524902,67.42195129394531,15.444560050964355,11.808181762695313,11.92986734566476,561.81695556640625,9.661293200411686,10.78664089774071,11.29610194540199,13.73772175977813,18.15492631234886,59.50519932182419
pima,agb_liu,1994,36.376365661621094,8.149367332458496,67.42195129394531,14.721996307373047,11.889471054077148,11.379645401645753,535.53271484375,9.412458474087055,10.198611322892935,10.808542348925409,12.641564363623473,16.406266349825124,59.50519932182419
pima,agb_liu,1995,36.376365661621094,8.096502304077148,67.42195129394531,14.925601959228516,11.874303817749023,11.487923441171466,542.93914794921875,9.515736166318032,10.414623243871976,10.917463742415162,12.731863551944455,17.095807569366087,59.50519932182419
pima,agb_liu,1996,36.376365661621094,7.718795299530029,67.42195129394531,13.902979850769043,12.041436195373535,10.477395992479149,505.7398681640625,8.927857054360109,9.65192450585979,10.060693050889713,11.49090320977011,15.093186988945714,59.50519932182419
pima,agb_liu,1997,36.376365661621094,7.3751702308654785,67.42195129394531,13.504883766174316,12.150896072387695,10.117128578858175,491.2585754394531,8.484028110024127,9.110689938675597,9.570945634522158,11.024161003780423,14.80366407016127,59.50519932182419
pima,agb_liu,1998,36.376365661621094,7.906475067138672,67.42195129394531,14.67520523071289,11.91977310180664,11.251667147786188,533.83062744140625,9.149449222311842,10.168962072898566,10.705306693897503,12.604630695674278,16.71254521860597,59.50519932182419
pima,agb_liu,1999,36.376365661621094,7.689818859100342,67.42195129394531,13.92934799194336,12.033116340637207,10.582857474860274,506.6990661621094,8.807137146621878,9.40165340769416,10.082877653357304,11.656793410773933,15.07757173564868,59.50519932182419
pima,agb_liu,2000,36.376365661621094,7.3866376876831055,67.42195129394531,13.757600784301758,12.087770462036133,10.382047920070262,500.4515075683594,8.529695294040978,9.2920838947307,9.807006251709948,11.572114191487747,15.071815104058768,59.50519932182419
pima,agb_liu,2001,36.376365661621094,7.292382717132568,67.42195129394531,14.58437442779541,12.048421859741211,11.09501864467851,530.52655029296875,8.439646741204541,9.702849033058586,10.114217659179475,12.718220677581748,17.84553066293028,59.50519932182419
pima,agb_liu,2002,36.376365661621094,7.119220733642578,67.42195129394531,13.373678207397461,12.172000885009766,9.928153125015314,486.4858093261719,8.304163417834376,8.914508839930011,9.403278170642066,11.012443617008946,14.823186684625167,59.50519932182419
pima,agb_liu,2003,36.376365661621094,7.314080715179443,67.42195129394531,13.70394515991211,12.088226318359375,10.34610310148605,498.4997253417969,8.652900058574588,9.237300137249633,9.664043404130263,11.544002808599343,14.944922598535538,59.50519932182419
pima,agb_liu,2004,36.376365661621094,7.181786060333252,67.42195129394531,13.680627822875977,12.08920669555664,10.332505863842115,497.6515197753906,8.555810172043524,9.397487870581982,9.758947383888671,11.36002273831245,14.94512069747622,59.50519932182419
pima,agb_liu,2005,36.376365661621094,8.113041877746582,67.42195129394531,14.222414016723633,11.961642265319824,10.879877883615269,517.3597412109375,9.379117691220777,9.911652682260394,10.270751357960554,12.085338842219233,15.173779756077177,59.50519932182419
pima,agb_liu,2006,36.376365661621094,7.666968822479248,67.42195129394531,13.737202644348145,12.065239906311035,10.328258685769704,499.7095031738281,8.992495028809273,9.350244282572108,9.81624364791248,11.511534937834536,14.842547345562664,59.50519932182419
pima,agb_liu,2007,36.376365661621094,7.498780250549316,67.42195129394531,13.651009559631348,12.133024215698242,10.163291449226952,496.5741271972656,8.569842537322568,9.040040985894786,9.543135598253112,11.337633804444616,15.577447324909487,59.50519932182419
pima,agb_liu,2008,36.376365661621094,7.441033840179443,67.42195129394531,14.176124572753906,12.045821189880371,10.575946530320511,515.6759033203125,8.662646679356245,9.627425323486642,9.97888588911542,12.007856493412664,16.356172077751534,59.50519932182419
pima,agb_liu,2009,36.376365661621094,7.282483100891113,67.42195129394531,13.68966293334961,12.12925910949707,10.192953681741743,497.9801940917969,8.390235172598704,9.247569750916577,9.46284680355114,11.462713825901208,15.563942357272685,59.50519932182419
pima,agb_liu,2010,36.376365661621094,7.448808670043945,67.42195129394531,13.982868194580078,12.105091094970703,10.406908009027172,508.64593505859375,8.533832434919807,9.505734404230822,9.702102939819262,12.003883551100882,16.43752601896313,59.50519932182419
pima,agb_liu,2011,36.376365661621094,7.355348110198975,67.42195129394531,13.403106689453125,12.18266773223877,9.923827832677983,487.5563049316406,8.3409014976563,8.878275896095742,9.272160436257797,11.248341980900706,15.205987958705311,59.50519932182419
pima,agb_liu,2012,36.376365661621094,7.304083824157715,67.42195129394531,13.554232597351074,12.163914680480957,10.106935086711056,493.0537109375,8.448145940135644,9.128861560983552,9.377004137414245,11.49001739799784,15.668196819946626,59.50519932182419
pima,agb_ltgnn,1990,26440240,0,178,6.995630741119385,16.15276336669922,0.9021393410233858,184966160,0.04510696705116929,0.18042786820467716,0.4510696705116929,7.287817858720982,22.870981530754683,45.99166500801993
pima,agb_ltgnn,1991,26440240,0,178,6.766581058502197,15.964139938354492,0.8866859105321896,178910032,0.04433429552660948,0.17733718210643792,0.4433429552660948,6.738639260170415,22.13504000288375,45.7710506329445
pima,agb_ltgnn,1992,26440240,0,178,6.7173542976379395,15.843305587768555,0.8825071579930205,177608464,0.044125357899651024,0.1765014315986041,0.44125357899651024,6.6690023174911035,22.06243033980083,45.6438818604752
pima,agb_ltgnn,1993,26440240,0,178,6.6827239990234375,15.728019714355469,0.8801072317907138,176692832,0.04400536158953569,0.17602144635814276,0.4400536158953569,6.635198576161804,22.03263555779044,45.53585856603652
pima,agb_ltgnn,1994,26440240,0,178,6.594904899597168,15.559791564941406,0.8722237503865002,174370864,0.043611187519325016,0.17444475007730006,0.4361118751932501,6.501704440599107,21.88076299306081,45.21023237624065
pima,agb_ltgnn,1995,26440240,0,178,6.534480094909668,15.418248176574707,0.8680986308136308,172773216,0.04340493154068154,0.17361972616272617,0.4340493154068154,6.413892648184634,21.76035279255447,45.04018777434309
pima,agb_ltgnn,1996,26440240,0,178,6.393494606018066,15.240740776062012,0.8533146672926575,169045536,0.04266573336463288,0.1706629334585315,0.42665733364632874,6.081232555698088,21.497934853073104,44.809782666910664
pima,agb_ltgnn,1997,26440240,0,178,6.356883525848389,15.114555358886719,0.853628078603824,168077520,0.042681403930191195,0.17072561572076478,0.426814039301912,6.059939193549061,21.355501374937884,44.75335536117564
pima,agb_ltgnn,1998,26440240,0,178,6.316531658172607,14.982904434204102,0.851927563251253,167010608,0.042596378162562655,0.17038551265025062,0.4259637816256265,6.010032449385535,21.284219661542483,44.65263253128754
pima,agb_ltgnn,1999,26440240,0,178,6.253620147705078,14.810907363891602,0.8448119678387302,165347216,0.042240598391936515,0.16896239356774606,0.4224059839193651,5.929287332470249,21.228523059558782,44.50828568706419
pima,agb_ltgnn,2000,26440240,0,178,6.206093788146973,14.645472526550293,0.8441846862622473,164090608,0.04220923431311237,0.16883693725244947,0.42209234313112365,5.885019706345124,21.11794328992362,44.35298699878306
pima,agb_ltgnn,2001,26440240,0,178,6.166999340057373,14.517335891723633,0.8422902058113789,163056944,0.04211451029056895,0.1684580411622758,0.42114510290568946,5.8308229728422765,21.054289396424863,44.335156981426834
pima,agb_ltgnn,2002,26440240,0,178,6.034749984741211,14.098578453063965,0.8385105083946253,159560240,0.04192552541973127,0.16770210167892508,0.41925525419731263,5.714361339693366,20.84204554201435,43.674710500632735
pima,agb_ltgnn,2003,26440240,0,178,5.959396839141846,13.758658409118652,0.8410178185045246,157567888,0.04205089092522623,0.16820356370090492,0.4205089092522623,5.727608845296549,20.701850790188725,43.003071523026854
pima,agb_ltgnn,2004,26440240,0,178,5.93472146987915,13.491106033325195,0.8437902499011373,156915456,0.04218951249505686,0.16875804998022745,0.42189512495056863,5.791335020609785,20.76081438617121,42.76871087062945
